iter	Passed	Remaining
0	159	159800
1	161	80550
2	162	54031
3	166	41435
4	168	33534
5	170	28173
6	171	24352
7	172	21451
8	174	19169
9	175	17344
10	176	15852
11	187	15422
12	189	14359
13	192	13569
14	195	12823
15	196	12095
16	198	11473
17	199	10894
18	200	10369
19	203	9952
20	204	9520
21	212	9441
22	213	9087
23	215	8765
24	216	8452
25	217	8160
26	218	7887
27	219	7632
28	223	7499
29	225	7303
30	227	7097
31	228	6900
32	229	6716
33	230	6543
34	231	6389
35	234	6279
36	239	6234
37	241	6108
38	244	6023
39	247	5936
40	248	5812
41	251	5729
42	252	5617
43	253	5515
44	255	5427
45	257	5348
46	258	5247
47	259	5149
48	260	5055
49	264	5030
50	266	4960
51	267	4878
52	268	4798
53	269	4719
54	270	4645
55	271	4572
56	272	4500
57	273	4435
58	274	4371
59	274	4306
60	277	4277
61	280	4243
62	281	4187
63	282	4134
64	283	4080
65	284	4027
66	285	3976
67	286	3927
68	287	3879
69	288	3830
70	289	3782
71	290	3738
72	294	3745
73	296	3715
74	297	3674
75	299	3635
76	300	3596
77	300	3556
78	301	3517
79	302	3481
80	304	3454
81	308	3448
82	309	3416
83	311	3392
84	312	3363
85	313	3332
86	316	3318
87	319	3315
88	322	3300
89	328	3318
90	329	3290
91	330	3264
92	331	3236
93	335	3235
94	340	3240
95	342	3222
96	343	3198
97	345	3175
98	346	3150
99	347	3125
100	352	3135
101	354	3125
102	356	3106
103	357	3084
104	359	3063
105	360	3041
106	362	3021
107	365	3016
108	370	3027
109	390	3161
110	394	3158
111	403	3196
112	404	3175
113	406	3156
114	407	3134
115	408	3112
116	409	3088
117	410	3067
118	415	3079
119	417	3062
120	418	3043
121	419	3022
122	421	3004
123	422	2984
124	423	2965
125	424	2945
126	425	2924
127	430	2931
128	431	2915
129	433	2897
130	434	2879
131	435	2864
132	436	2847
133	438	2832
134	439	2815
135	440	2799
136	451	2843
137	452	2828
138	453	2812
139	455	2796
140	456	2780
141	456	2760
142	461	2763
143	464	2761
144	466	2750
145	467	2735
146	468	2720
147	469	2704
148	470	2689
149	471	2673
150	474	2669
151	477	2666
152	480	2658
153	481	2644
154	482	2630
155	483	2615
156	484	2600
157	485	2585
158	486	2570
159	486	2556
160	487	2540
161	496	2570
162	498	2557
163	498	2542
164	499	2528
165	500	2515
166	501	2501
167	502	2489
168	505	2485
169	510	2494
170	512	2483
171	513	2470
172	513	2456
173	514	2443
174	515	2430
175	516	2418
176	517	2405
177	518	2392
178	524	2405
179	526	2396
180	527	2385
181	528	2373
182	528	2361
183	529	2348
184	530	2336
185	531	2324
186	532	2313
187	537	2321
188	539	2313
189	540	2303
190	541	2292
191	542	2281
192	542	2270
193	543	2259
194	544	2249
195	546	2241
196	553	2254
197	554	2247
198	556	2240
199	560	2243
200	561	2233
201	562	2222
202	570	2240
203	572	2232
204	573	2223
205	574	2215
206	575	2205
207	576	2195
208	577	2185
209	578	2175
210	585	2188
211	587	2183
212	588	2175
213	589	2165
214	590	2156
215	592	2150
216	593	2141
217	598	2147
218	600	2141
219	601	2133
220	603	2125
221	608	2133
222	617	2150
223	618	2143
224	619	2134
225	620	2126
226	622	2118
227	624	2116
228	630	2121
229	633	2119
230	634	2110
231	635	2102
232	636	2094
233	637	2086
234	638	2078
235	639	2070
236	640	2061
237	645	2065
238	648	2066
239	650	2058
240	651	2050
241	652	2042
242	652	2033
243	653	2025
244	654	2017
245	655	2008
246	668	2039
247	670	2031
248	671	2024
249	671	2015
250	678	2024
251	681	2023
252	682	2015
253	683	2007
254	684	1999
255	685	1992
256	686	1984
257	687	1976
258	692	1981
259	694	1976
260	695	1968
261	696	1961
262	696	1953
263	697	1945
264	698	1937
265	699	1929
266	700	1922
267	700	1914
268	701	1907
269	702	1899
270	709	1907
271	710	1901
272	711	1894
273	712	1886
274	712	1879
275	713	1872
276	714	1865
277	715	1857
278	716	1850
279	721	1855
280	722	1849
281	723	1843
282	724	1836
283	727	1833
284	728	1827
285	729	1821
286	730	1814
287	731	1807
288	742	1825
289	743	1821
290	744	1814
291	745	1808
292	746	1801
293	750	1802
294	752	1797
295	753	1792
296	756	1791
297	758	1786
298	759	1780
299	760	1773
300	760	1767
301	761	1760
302	767	1764
303	769	1762
304	770	1756
305	771	1750
306	772	1744
307	773	1737
308	774	1732
309	775	1726
310	776	1720
311	786	1735
312	788	1729
313	788	1723
314	789	1717
315	790	1711
316	804	1733
317	806	1730
318	808	1725
319	809	1719
320	818	1731
321	819	1726
322	821	1720
323	822	1715
324	822	1709
325	823	1703
326	824	1697
327	834	1709
328	835	1704
329	836	1698
330	837	1692
331	838	1687
332	839	1681
333	840	1675
334	845	1679
335	846	1673
336	847	1667
337	848	1662
338	849	1656
339	854	1658
340	855	1652
341	861	1657
342	866	1660
343	868	1655
344	869	1651
345	870	1646
346	871	1640
347	880	1648
348	881	1643
349	882	1638
350	882	1632
351	883	1626
352	884	1621
353	885	1615
354	886	1609
355	886	1604
356	892	1608
357	896	1607
358	897	1602
359	898	1597
360	899	1591
361	900	1586
362	900	1580
363	901	1575
364	902	1569
365	908	1573
366	911	1571
367	912	1566
368	913	1561
369	914	1556
370	915	1551
371	915	1546
372	916	1540
373	917	1535
374	918	1530
375	925	1536
376	927	1532
377	928	1527
378	928	1522
379	929	1516
380	930	1511
381	930	1505
382	931	1500
383	932	1495
384	932	1490
385	933	1484
386	940	1489
387	941	1484
388	942	1480
389	943	1475
390	944	1470
391	944	1465
392	945	1460
393	946	1455
394	946	1450
395	948	1446
396	954	1449
397	955	1445
398	956	1440
399	957	1436
400	958	1431
401	958	1426
402	959	1421
403	960	1416
404	960	1411
405	961	1406
406	962	1401
407	962	1396
408	964	1394
409	965	1389
410	966	1385
411	967	1381
412	968	1376
413	970	1373
414	971	1369
415	972	1364
416	972	1360
417	973	1355
418	974	1351
419	986	1362
420	989	1360
421	1052	1441
422	1053	1436
423	1056	1434
424	1057	1430
425	1059	1427
426	1061	1424
427	1063	1420
428	1064	1416
429	1065	1412
430	1066	1408
431	1067	1404
432	1069	1399
433	1072	1398
434	1073	1394
435	1075	1391
436	1077	1388
437	1079	1385
438	1080	1380
439	1081	1376
440	1082	1372
441	1084	1368
442	1085	1364
443	1086	1360
444	1087	1356
445	1088	1352
446	1094	1354
447	1095	1350
448	1097	1346
449	1100	1345
450	1102	1341
451	1103	1337
452	1104	1333
453	1105	1329
454	1108	1328
455	1110	1325
456	1112	1321
457	1113	1317
458	1114	1313
459	1115	1309
460	1116	1305
461	1117	1301
462	1118	1297
463	1119	1293
464	1148	1321
465	1151	1319
466	1158	1321
467	1160	1318
468	1163	1317
469	1165	1314
470	1174	1319
471	1176	1316
472	1178	1312
473	1179	1308
474	1185	1310
475	1186	1306
476	1188	1302
477	1189	1298
478	1191	1295
479	1192	1291
480	1193	1287
481	1194	1283
482	1209	1294
483	1211	1291
484	1225	1301
485	1227	1298
486	1240	1306
487	1241	1302
488	1243	1299
489	1244	1295
490	1251	1297
491	1259	1300
492	1260	1296
493	1266	1297
494	1269	1295
